,Small LowVol,Small Neutral,Small HighVol,Big LowVol,Big Neutral,Big HighVol,Rm-Rf,Rf,SLV-Rf,BLV-Rf,SHV-Rf,BHV-Rf,VOL,Conservative,Speculative,CMS
May-37,-1.32%,-2.37%,-4.01%,0.67%,-1.26%,-3.23%,-0.83%,0.06%,-1.38%,0.61%,-4.07%,-3.29%,1.74%,-0.61%,-5.95%,2.21%
Jun-37,-6.13%,-9.99%,-12.99%,-3.16%,-4.57%,-5.90%,-4.21%,0.03%,-6.16%,-3.19%,-13.02%,-5.93%,-0.38%,-4.12%,-11.31%,0.57%
Jul-37,7.18%,13.58%,16.05%,6.01%,11.96%,11.21%,8.91%,0.03%,7.15%,5.98%,16.02%,11.18%,0.54%,6.41%,17.15%,-0.64%
Aug-37,-2.93%,-5.28%,-8.56%,-3.77%,-5.69%,-8.42%,-4.86%,0.02%,-2.95%,-3.79%,-8.58%,-8.44%,0.99%,-3.25%,-9.48%,0.73%
Sep-37,-17.98%,-24.93%,-28.66%,-8.50%,-16.10%,-21.83%,-13.61%,0.04%,-18.02%,-8.54%,-28.70%,-21.87%,-0.09%,-15.06%,-25.78%,-5.41%
Oct-37,-10.33%,-11.91%,-9.37%,-6.68%,-12.83%,-10.43%,-9.61%,0.02%,-10.35%,-6.70%,-9.39%,-10.45%,-3.99%,-9.18%,-8.75%,-5.83%
Nov-37,-10.58%,-13.89%,-12.28%,-6.48%,-9.97%,-9.62%,-8.31%,0.02%,-10.60%,-6.50%,-12.30%,-9.64%,-3.21%,-11.27%,-13.15%,-5.30%
Dec-37,-10.89%,-15.20%,-17.75%,-1.59%,-6.13%,-7.75%,-4.24%,0.00%,-10.89%,-1.59%,-17.75%,-7.75%,0.97%,-6.31%,-15.66%,1.69%
Jan-38,6.78%,6.67%,2.13%,0.46%,0.61%,-1.53%,0.49%,0.00%,6.78%,0.46%,2.13%,-1.53%,3.67%,4.94%,6.27%,1.88%
Feb-38,7.80%,8.07%,5.81%,4.49%,7.36%,6.45%,5.84%,0.00%,7.80%,4.49%,5.81%,6.45%,3.18%,3.10%,6.64%,-0.25%
