,Small LowVol,Small Neutral,Small HighVol,Big LowVol,Big Neutral,Big HighVol,Rm-Rf,Rf,SLV-Rf,BLV-Rf,SHV-Rf,BHV-Rf,VOL,Conservative,Speculative,CMS
Sep-53,-1.19%,-1.08%,-3.02%,1.16%,0.13%,-0.42%,0.20%,0.16%,-1.35%,1.00%,-3.18%,-0.58%,0.92%,-1.53%,-3.24%,1.08%
Oct-53,2.44%,3.96%,4.96%,3.50%,5.60%,5.22%,4.60%,0.13%,2.31%,3.37%,4.83%,5.09%,0.31%,2.67%,2.26%,0.96%
Nov-53,0.98%,1.59%,1.89%,2.26%,3.35%,3.49%,2.83%,0.08%,0.90%,2.18%,1.81%,3.41%,0.15%,1.35%,1.26%,0.40%
Dec-53,-0.49%,-2.14%,-3.91%,0.71%,0.35%,-1.56%,0.03%,0.13%,-0.62%,0.58%,-4.04%,-1.69%,1.93%,0.37%,-6.83%,6.14%
Jan-54,4.78%,7.84%,9.28%,3.59%,5.94%,6.30%,5.13%,0.11%,4.67%,3.48%,9.17%,6.19%,-0.04%,4.78%,13.00%,-6.67%
Feb-54,1.25%,0.40%,2.01%,1.70%,1.76%,2.05%,1.67%,0.07%,1.18%,1.63%,1.94%,1.98%,0.52%,1.55%,-0.02%,1.84%
Mar-54,1.48%,2.25%,3.52%,3.01%,4.11%,4.29%,3.65%,0.08%,1.40%,2.93%,3.44%,4.21%,0.09%,2.39%,1.53%,1.49%
Apr-54,0.64%,0.54%,0.89%,2.73%,6.44%,2.96%,4.27%,0.09%,0.55%,2.64%,0.80%,2.87%,0.70%,2.59%,-1.06%,4.09%
May-54,3.52%,4.63%,6.62%,2.50%,3.12%,3.86%,3.09%,0.05%,3.47%,2.45%,6.57%,3.81%,0.60%,3.61%,6.48%,-1.40%
Jun-54,1.03%,1.55%,0.13%,1.60%,1.16%,-0.86%,1.07%,0.06%,0.97%,1.54%,0.07%,-0.92%,2.20%,2.63%,-1.45%,4.54%
Jul-54,5.45%,8.10%,9.01%,6.46%,3.95%,4.45%,4.99%,0.05%,5.40%,6.41%,8.96%,4.40%,3.71%,6.82%,9.93%,-0.13%
Aug-54,0.72%,-0.40%,-1.14%,-1.49%,-2.70%,-3.55%,-2.34%,0.05%,0.67%,-1.54%,-1.19%,-3.60%,1.68%,-1.20%,-0.68%,-0.94%
Sep-54,3.40%,4.12%,4.85%,6.15%,7.42%,6.23%,6.39%,0.09%,3.31%,6.06%,4.76%,6.14%,2.12%,5.76%,3.08%,4.78%
Oct-54,-0.48%,-0.77%,-0.49%,-2.43%,-1.56%,-0.60%,-1.67%,0.07%,-0.55%,-2.50%,-0.56%,-0.67%,-1.50%,0.41%,-2.76%,3.05%
Nov-54,7.70%,9.58%,10.21%,8.59%,9.57%,10.82%,9.38%,0.06%,7.64%,8.53%,10.15%,10.76%,3.16%,10.65%,10.33%,4.54%
Dec-54,8.17%,8.92%,14.75%,3.07%,5.62%,9.04%,5.48%,0.08%,8.09%,2.99%,14.67%,8.96%,-1.51%,6.38%,16.88%,-7.32%
Jan-55,2.05%,0.71%,2.76%,1.58%,-0.12%,1.27%,0.60%,0.08%,1.97%,1.50%,2.68%,1.19%,0.91%,2.19%,0.99%,1.76%
Feb-55,4.15%,4.51%,5.48%,2.47%,2.87%,4.34%,3.02%,0.09%,4.06%,2.38%,5.39%,4.25%,0.71%,5.81%,5.28%,2.60%
Mar-55,0.19%,-0.04%,0.49%,-0.76%,-0.40%,2.42%,-0.16%,0.10%,0.09%,-0.86%,0.39%,2.32%,-1.59%,0.71%,-0.84%,1.48%
Apr-55,2.08%,1.89%,1.32%,2.41%,4.47%,1.25%,3.11%,0.10%,1.98%,2.31%,1.22%,1.15%,1.97%,2.84%,0.96%,2.52%
May-55,0.95%,-0.44%,2.20%,0.43%,1.20%,2.62%,0.93%,0.14%,0.81%,0.29%,2.06%,2.48%,-1.06%,-0.32%,1.72%,-1.67%
Jun-55,2.92%,3.14%,3.75%,4.85%,8.76%,5.86%,6.55%,0.10%,2.82%,4.75%,3.65%,5.76%,1.18%,4.25%,1.52%,3.69%
Jul-55,1.75%,0.65%,-0.37%,2.96%,2.69%,-1.29%,1.90%,0.10%,1.65%,2.86%,-0.47%,-1.39%,3.86%,2.07%,0.90%,1.70%
Aug-55,0.67%,0.25%,0.31%,0.24%,-0.30%,2.97%,0.21%,0.16%,0.51%,0.08%,0.15%,2.81%,-0.85%,0.94%,-1.27%,2.12%
Sep-55,0.03%,-0.26%,-0.60%,-0.70%,0.33%,-0.67%,-0.36%,0.16%,-0.13%,-0.86%,-0.76%,-0.83%,0.04%,-1.03%,1.42%,-2.34%
Oct-55,-0.44%,-0.88%,-2.38%,-1.31%,-2.89%,-3.92%,-2.68%,0.18%,-0.62%,-1.49%,-2.56%,-4.10%,1.44%,-0.77%,-2.74%,1.34%
Nov-55,2.77%,7.00%,5.97%,5.72%,7.45%,9.52%,7.03%,0.17%,2.60%,5.55%,5.80%,9.35%,-0.98%,4.50%,4.30%,1.72%
Dec-55,0.71%,3.47%,3.27%,0.53%,2.80%,0.60%,1.49%,0.18%,0.53%,0.35%,3.09%,0.42%,-0.80%,1.34%,3.14%,-1.03%
Jan-56,-0.61%,-1.97%,-3.01%,-1.39%,-2.81%,-4.79%,-3.03%,0.22%,-0.83%,-1.61%,-3.23%,-5.01%,1.80%,-2.50%,-2.47%,-0.95%
Feb-56,1.74%,4.06%,2.91%,2.41%,4.60%,4.93%,3.77%,0.19%,1.55%,2.22%,2.72%,4.74%,-0.47%,2.33%,2.95%,0.25%
Mar-56,3.62%,4.91%,4.73%,3.08%,9.17%,7.00%,6.64%,0.15%,3.47%,2.93%,4.58%,6.85%,-0.09%,6.05%,3.04%,4.57%
Apr-56,0.48%,-0.15%,0.78%,0.34%,0.71%,0.40%,0.28%,0.19%,0.29%,0.15%,0.59%,0.21%,0.00%,0.99%,-0.70%,1.79%
May-56,-2.66%,-4.01%,-5.03%,-3.30%,-5.62%,-5.83%,-5.20%,0.23%,-2.89%,-3.53%,-5.26%,-6.06%,0.03%,-4.18%,-5.95%,0.26%
Jun-56,0.75%,1.37%,2.09%,1.70%,3.60%,6.19%,3.48%,0.20%,0.55%,1.50%,1.89%,5.99%,-1.89%,2.01%,0.94%,1.52%
Jul-56,2.09%,3.72%,3.34%,3.98%,4.96%,6.66%,4.84%,0.22%,1.87%,3.76%,3.12%,6.44%,0.05%,3.92%,2.96%,2.02%
Aug-56,0.11%,-1.12%,-2.72%,-2.02%,-4.35%,-1.57%,-3.18%,0.17%,-0.06%,-2.19%,-2.89%,-1.74%,0.49%,-1.17%,-2.92%,1.27%
Sep-56,-2.61%,-2.47%,-3.30%,-3.50%,-5.35%,-6.07%,-5.14%,0.18%,-2.79%,-3.68%,-3.48%,-6.25%,-0.54%,-2.82%,-5.07%,1.46%
Oct-56,1.30%,0.29%,-0.03%,0.18%,0.61%,1.90%,0.52%,0.25%,1.05%,-0.07%,-0.28%,1.65%,0.32%,1.70%,-1.43%,3.58%
Nov-56,1.05%,0.02%,2.02%,0.26%,0.76%,0.33%,0.36%,0.20%,0.85%,0.06%,1.82%,0.13%,-0.17%,1.11%,-1.32%,2.69%
Dec-56,0.60%,2.82%,2.45%,1.71%,4.07%,4.04%,3.16%,0.24%,0.36%,1.47%,2.21%,3.80%,-1.50%,1.88%,1.26%,1.13%
Jan-57,1.93%,1.58%,0.54%,1.55%,-5.08%,-5.53%,-3.58%,0.27%,1.66%,1.28%,0.27%,-5.80%,4.79%,0.25%,2.29%,-1.98%
Feb-57,-1.55%,-2.47%,-4.55%,-0.52%,-2.17%,-2.19%,-2.06%,0.24%,-1.79%,-0.76%,-4.79%,-2.43%,1.41%,-1.34%,-4.57%,3.52%
Mar-57,2.75%,2.39%,1.88%,1.90%,2.86%,1.72%,2.13%,0.23%,2.52%,1.67%,1.65%,1.49%,2.10%,1.80%,0.93%,1.29%
Apr-57,1.26%,1.68%,1.90%,1.53%,4.91%,7.00%,4.26%,0.25%,1.01%,1.28%,1.65%,6.75%,-1.96%,1.99%,2.22%,0.09%
May-57,1.06%,1.24%,2.28%,1.14%,5.11%,3.78%,3.45%,0.26%,0.80%,0.88%,2.02%,3.52%,-1.19%,1.28%,1.88%,-0.41%
Jun-57,-1.28%,-0.33%,-0.90%,-2.48%,0.24%,-0.22%,-0.74%,0.24%,-1.52%,-2.72%,-1.14%,-0.46%,-2.63%,-0.58%,-0.43%,-0.29%
Jul-57,0.57%,0.87%,-0.17%,0.81%,1.18%,0.90%,0.66%,0.30%,0.27%,0.51%,-0.47%,0.60%,0.62%,0.54%,0.72%,-0.10%
Aug-57,-2.63%,-5.74%,-6.49%,-1.11%,-5.62%,-6.27%,-5.11%,0.25%,-2.88%,-1.36%,-6.74%,-6.52%,2.71%,-3.15%,-7.60%,4.76%
Sep-57,-2.18%,-6.25%,-8.14%,-2.06%,-6.49%,-7.32%,-5.98%,0.26%,-2.44%,-2.32%,-8.40%,-7.58%,3.66%,-3.32%,-8.59%,5.09%
Oct-57,-4.53%,-7.82%,-10.35%,-1.64%,-3.49%,-7.10%,-4.32%,0.29%,-4.82%,-1.93%,-10.64%,-7.39%,2.35%,-3.85%,-11.48%,6.67%
Nov-57,1.01%,1.23%,2.02%,2.50%,1.92%,4.97%,2.30%,0.28%,0.73%,2.22%,1.74%,4.69%,-0.23%,2.21%,1.52%,1.47%
Dec-57,-2.09%,-7.49%,-7.09%,1.39%,-4.23%,-7.57%,-3.91%,0.24%,-2.33%,1.15%,-7.33%,-7.81%,5.44%,-2.71%,-9.22%,5.28%
Jan-58,8.58%,13.22%,14.45%,5.67%,3.94%,4.76%,4.66%,0.28%,8.30%,5.39%,14.17%,4.48%,5.05%,6.83%,19.54%,-11.29%
Feb-58,0.87%,-1.61%,-4.01%,1.23%,-2.41%,-2.28%,-1.52%,0.12%,0.75%,1.11%,-4.13%,-2.40%,4.70%,1.12%,-3.74%,5.14%
Mar-58,3.97%,3.87%,5.13%,2.31%,3.87%,3.19%,3.27%,0.09%,3.88%,2.22%,5.04%,3.10%,2.34%,4.08%,3.63%,2.57%
Apr-58,2.62%,2.19%,3.11%,3.55%,3.64%,1.70%,3.09%,0.08%,2.54%,3.47%,3.03%,1.62%,3.68%,4.34%,3.69%,2.84%
May-58,3.09%,4.80%,5.40%,2.06%,1.69%,4.10%,2.31%,0.11%,2.98%,1.95%,5.29%,3.99%,0.64%,2.84%,4.19%,0.17%
Jun-58,2.39%,2.88%,3.68%,2.33%,3.35%,2.95%,2.93%,0.03%,2.36%,2.30%,3.65%,2.92%,1.56%,2.43%,6.92%,-2.96%
Jul-58,4.63%,6.87%,5.44%,1.98%,5.24%,6.09%,4.39%,0.07%,4.56%,1.91%,5.37%,6.02%,1.35%,2.51%,7.71%,-3.07%
Aug-58,3.70%,2.62%,4.91%,1.23%,2.09%,2.42%,1.91%,0.04%,3.66%,1.19%,4.87%,2.38%,1.44%,2.57%,2.77%,1.36%
Sep-58,4.88%,5.31%,7.64%,3.49%,5.59%,4.56%,4.66%,0.19%,4.69%,3.30%,7.45%,4.37%,2.48%,4.22%,8.02%,-0.67%
Oct-58,2.55%,3.43%,3.61%,1.86%,2.91%,3.44%,2.53%,0.18%,2.37%,1.68%,3.43%,3.26%,0.96%,3.01%,1.47%,3.10%
Nov-58,4.63%,4.56%,4.50%,3.32%,3.02%,2.17%,3.01%,0.11%,4.52%,3.21%,4.39%,2.06%,4.39%,4.02%,2.65%,3.53%
Dec-58,4.05%,3.07%,3.25%,5.86%,5.72%,3.99%,5.15%,0.22%,3.83%,5.64%,3.03%,3.77%,6.00%,3.33%,3.88%,1.54%
Jan-59,5.13%,5.54%,5.76%,0.78%,0.74%,0.35%,0.71%,0.21%,4.92%,0.57%,5.55%,0.14%,2.16%,5.33%,4.09%,4.16%
Feb-59,3.16%,3.31%,2.37%,0.96%,0.99%,0.68%,0.95%,0.19%,2.97%,0.77%,2.18%,0.49%,2.04%,3.30%,1.38%,3.58%
Mar-59,0.67%,1.81%,1.82%,0.12%,0.42%,1.26%,0.28%,0.22%,0.45%,-0.10%,1.60%,1.04%,-0.83%,1.90%,1.11%,1.79%
Apr-59,1.73%,2.92%,2.44%,3.97%,3.84%,3.89%,3.66%,0.20%,1.53%,3.77%,2.24%,3.69%,2.25%,2.48%,1.09%,2.70%
May-59,1.79%,0.48%,0.64%,1.45%,2.93%,1.73%,1.73%,0.22%,1.57%,1.23%,0.42%,1.51%,1.58%,1.75%,0.31%,2.27%
Jun-59,-0.03%,0.57%,0.95%,-0.79%,-0.18%,2.32%,-0.25%,0.25%,-0.28%,-1.04%,0.70%,2.07%,-2.32%,1.30%,-1.34%,2.92%
Jul-59,1.99%,3.87%,2.76%,4.13%,2.70%,3.35%,3.17%,0.25%,1.74%,3.88%,2.51%,3.10%,2.64%,3.00%,2.36%,2.66%
Aug-59,0.86%,-2.07%,-4.04%,0.07%,-1.67%,-3.42%,-1.39%,0.19%,0.67%,-0.12%,-4.23%,-3.61%,3.56%,-0.47%,-3.18%,1.58%
Sep-59,-2.87%,-4.84%,-4.72%,-3.69%,-4.98%,-5.77%,-4.80%,0.31%,-3.18%,-4.00%,-5.03%,-6.08%,-1.74%,-3.85%,-5.90%,-1.44%
Oct-59,1.36%,2.21%,3.41%,1.35%,0.94%,3.17%,1.28%,0.30%,1.06%,1.05%,3.11%,2.87%,-0.56%,1.35%,0.39%,1.63%
Nov-59,0.71%,2.22%,2.33%,0.87%,2.31%,3.63%,1.60%,0.26%,0.45%,0.61%,2.07%,3.37%,-1.22%,0.84%,-0.24%,1.34%
Dec-59,1.53%,2.48%,3.03%,3.41%,2.80%,0.99%,2.45%,0.34%,1.19%,3.07%,2.69%,0.65%,2.48%,1.75%,1.46%,1.45%
Jan-60,-1.83%,-3.41%,-4.47%,-5.09%,-8.51%,-7.78%,-6.98%,0.33%,-2.16%,-5.42%,-4.80%,-8.11%,-1.49%,-3.25%,-2.39%,-2.90%
Feb-60,0.35%,1.13%,1.02%,2.31%,0.52%,1.99%,1.17%,0.29%,0.06%,2.02%,0.73%,1.70%,0.68%,0.40%,-0.13%,0.66%
Mar-60,-1.64%,-3.51%,-4.73%,-0.56%,-1.46%,-2.69%,-1.63%,0.35%,-1.99%,-0.91%,-5.08%,-3.04%,1.00%,-1.80%,-5.73%,1.67%
Apr-60,-0.36%,-2.87%,-5.02%,-1.90%,-1.01%,-1.69%,-1.71%,0.19%,-0.55%,-2.09%,-5.21%,-1.88%,0.68%,-1.30%,-5.02%,1.81%
May-60,0.82%,2.07%,4.23%,2.18%,3.69%,5.39%,3.12%,0.27%,0.55%,1.91%,3.96%,5.12%,-1.73%,1.78%,0.48%,2.05%
Jun-60,2.07%,1.57%,1.73%,2.68%,3.24%,-1.18%,2.08%,0.24%,1.83%,2.44%,1.49%,-1.42%,3.15%,2.56%,1.93%,2.04%
Jul-60,-0.46%,-1.28%,-3.98%,-2.07%,-1.49%,-4.53%,-2.37%,0.13%,-0.59%,-2.20%,-4.11%,-4.66%,1.33%,-0.30%,-2.85%,1.59%
Aug-60,3.77%,3.28%,6.72%,4.20%,2.12%,2.86%,3.01%,0.17%,3.60%,4.03%,6.55%,2.69%,2.11%,4.43%,6.02%,1.71%
Sep-60,-4.66%,-6.35%,-8.66%,-4.78%,-6.15%,-7.42%,-5.99%,0.16%,-4.82%,-4.94%,-8.82%,-7.58%,-0.70%,-4.72%,-10.12%,0.72%
Oct-60,-2.22%,-2.13%,-5.87%,0.26%,-0.27%,-1.75%,-0.71%,0.22%,-2.44%,0.04%,-6.09%,-1.97%,1.34%,-0.41%,-6.10%,3.61%
Nov-60,3.59%,4.76%,4.23%,3.35%,5.67%,7.00%,4.69%,0.13%,3.46%,3.22%,4.10%,6.87%,0.11%,4.04%,1.11%,4.51%
Dec-60,2.36%,3.48%,4.45%,5.30%,4.40%,4.96%,4.71%,0.16%,2.20%,5.14%,4.29%,4.80%,1.32%,2.57%,2.79%,1.36%
Jan-61,8.71%,9.92%,8.64%,6.81%,6.00%,5.45%,6.20%,0.19%,8.52%,6.62%,8.45%,5.26%,4.51%,6.93%,12.27%,-0.06%
Feb-61,5.75%,6.74%,8.71%,1.99%,4.14%,6.30%,3.57%,0.14%,5.61%,1.85%,8.57%,6.16%,-1.12%,4.89%,7.36%,0.66%
Mar-61,4.46%,5.57%,7.39%,3.45%,1.72%,3.66%,2.89%,0.20%,4.26%,3.25%,7.19%,3.46%,0.42%,3.46%,6.29%,-0.51%
Apr-61,1.31%,-0.07%,2.07%,1.06%,-0.14%,-0.45%,0.29%,0.17%,1.14%,0.89%,1.90%,-0.62%,0.80%,1.08%,-1.72%,2.83%
May-61,4.39%,5.31%,3.72%,1.64%,3.17%,4.15%,2.40%,0.18%,4.21%,1.46%,3.54%,3.97%,0.59%,3.92%,5.15%,1.16%
Jun-61,-2.69%,-5.80%,-7.14%,-1.84%,-3.11%,-4.18%,-3.08%,0.20%,-2.89%,-2.04%,-7.34%,-4.38%,1.67%,-2.70%,-6.08%,1.24%
Jul-61,0.44%,1.48%,1.17%,4.20%,2.71%,1.17%,2.83%,0.18%,0.26%,4.02%,0.99%,0.99%,1.73%,0.52%,-1.07%,1.54%
Aug-61,2.63%,0.74%,0.17%,1.44%,4.15%,2.68%,2.57%,0.14%,2.49%,1.30%,0.03%,2.54%,1.30%,3.12%,-0.57%,4.55%
Sep-61,-1.36%,-3.99%,-5.21%,-0.57%,-2.18%,-5.10%,-2.15%,0.17%,-1.53%,-0.74%,-5.38%,-5.27%,2.95%,-1.78%,-5.58%,2.38%
Oct-61,2.21%,2.08%,0.01%,3.87%,2.28%,0.87%,2.57%,0.19%,2.02%,3.68%,-0.18%,0.68%,3.25%,2.75%,-1.28%,4.65%
Nov-61,3.99%,5.60%,5.08%,5.42%,3.70%,4.22%,4.45%,0.15%,3.84%,5.27%,4.93%,4.07%,1.88%,4.37%,3.76%,2.41%
Dec-61,-0.71%,1.27%,-0.67%,0.54%,-0.21%,0.24%,-0.18%,0.19%,-0.90%,0.35%,-0.86%,0.05%,-0.09%,-0.78%,0.03%,-1.04%
Jan-62,1.58%,-0.02%,0.67%,-3.17%,-4.43%,-3.60%,-3.87%,0.24%,1.34%,-3.41%,0.43%,-3.84%,0.42%,-0.41%,-0.38%,-0.19%
Feb-62,2.51%,1.40%,-0.16%,2.54%,2.01%,0.75%,1.81%,0.20%,2.31%,2.34%,-0.36%,0.55%,2.92%,1.72%,0.60%,1.70%
Mar-62,-0.44%,-0.92%,-0.89%,-0.91%,0.13%,-0.69%,-0.68%,0.20%,-0.64%,-1.11%,-1.09%,-0.89%,-0.26%,-0.40%,-2.32%,1.60%
Apr-62,-4.26%,-7.66%,-10.16%,-4.49%,-7.29%,-9.03%,-6.59%,0.22%,-4.48%,-4.71%,-10.38%,-9.25%,2.40%,-5.14%,-10.11%,2.52%
May-62,-7.17%,-10.64%,-12.81%,-6.71%,-8.81%,-10.89%,-8.65%,0.24%,-7.41%,-6.95%,-13.05%,-11.13%,0.72%,-6.49%,-13.28%,3.34%
Jun-62,-6.12%,-8.14%,-11.18%,-6.18%,-9.63%,-10.22%,-8.47%,0.20%,-6.32%,-6.38%,-11.38%,-10.42%,0.88%,-5.41%,-13.20%,4.23%
Jul-62,3.48%,6.70%,10.51%,5.83%,6.77%,7.72%,6.28%,0.27%,3.21%,5.56%,10.24%,7.45%,-1.75%,4.26%,9.80%,-2.54%
Aug-62,1.87%,2.49%,3.40%,2.19%,2.30%,2.02%,2.13%,0.23%,1.64%,1.96%,3.17%,1.79%,0.31%,1.15%,3.54%,-1.30%
Sep-62,-4.08%,-6.66%,-8.90%,-3.05%,-5.55%,-8.24%,-5.22%,0.21%,-4.29%,-3.26%,-9.11%,-8.45%,2.17%,-3.85%,-10.33%,3.11%
Oct-62,-1.72%,-3.19%,-5.60%,1.43%,0.50%,-1.07%,-0.05%,0.25%,-1.97%,1.18%,-5.85%,-1.32%,2.09%,-0.73%,-5.68%,3.41%
Nov-62,10.99%,15.97%,18.71%,8.16%,12.57%,15.26%,10.87%,0.20%,10.79%,7.96%,18.51%,15.06%,-1.17%,9.42%,22.04%,-4.52%
Dec-62,-0.37%,-2.87%,-4.47%,3.09%,0.57%,-0.48%,1.01%,0.23%,-0.60%,2.86%,-4.70%,-0.71%,3.30%,0.93%,-5.48%,4.99%
Jan-63,8.99%,9.53%,9.73%,4.41%,5.43%,4.87%,4.93%,0.25%,8.74%,4.16%,9.48%,4.62%,2.88%,7.09%,10.19%,2.09%
Feb-63,-0.68%,-0.88%,-2.05%,-2.18%,-1.87%,-3.74%,-2.38%,0.23%,-0.91%,-2.41%,-2.28%,-3.97%,0.33%,0.21%,-4.49%,3.11%
Mar-63,2.30%,1.91%,0.37%,3.96%,3.34%,2.55%,3.08%,0.23%,2.07%,3.73%,0.14%,2.32%,2.52%,2.61%,-0.17%,3.34%
Apr-63,3.22%,3.53%,4.28%,4.22%,5.66%,4.95%,4.51%,0.25%,2.97%,3.97%,4.03%,4.70%,0.92%,4.25%,2.21%,3.87%
May-63,2.65%,4.45%,4.68%,1.34%,2.17%,3.59%,1.76%,0.24%,2.41%,1.10%,4.44%,3.35%,-0.75%,3.53%,3.63%,2.03%
Jun-63,-1.21%,-2.00%,-1.25%,-1.40%,-2.52%,-1.53%,-2.00%,0.23%,-1.44%,-1.63%,-1.48%,-1.76%,-0.63%,-1.17%,-2.10%,-0.09%
Jul-63,-0.87%,-0.81%,-2.21%,0.57%,-0.70%,-1.93%,-0.39%,0.27%,-1.14%,0.30%,-2.48%,-2.20%,1.24%,-1.75%,-2.69%,-0.41%
Aug-63,3.38%,5.03%,6.05%,4.06%,6.40%,8.37%,5.07%,0.25%,3.13%,3.81%,5.80%,8.12%,-1.09%,4.73%,4.44%,2.93%
Sep-63,-0.24%,-1.97%,-2.33%,-1.14%,-0.83%,-3.14%,-1.57%,0.27%,-0.51%,-1.41%,-2.60%,-3.41%,1.08%,-2.60%,-3.42%,-0.96%
Oct-63,1.36%,2.90%,4.38%,3.18%,2.74%,3.49%,2.53%,0.29%,1.07%,2.89%,4.09%,3.20%,-0.24%,2.41%,3.17%,0.89%
Nov-63,-0.47%,-0.91%,-1.54%,-0.38%,-0.74%,-0.30%,-0.85%,0.27%,-0.74%,-0.65%,-1.81%,-0.57%,0.01%,-0.60%,-1.59%,0.31%
Dec-63,0.00%,0.99%,-0.66%,2.69%,2.27%,1.07%,1.83%,0.29%,-0.29%,2.40%,-0.95%,0.78%,1.32%,1.80%,-2.53%,3.85%
Jan-64,2.43%,2.93%,0.44%,2.90%,2.85%,1.79%,2.24%,0.30%,2.13%,2.60%,0.14%,1.49%,2.22%,2.09%,0.63%,2.12%
Feb-64,2.62%,2.96%,3.79%,1.22%,2.37%,2.26%,1.54%,0.26%,2.36%,0.96%,3.53%,2.00%,0.04%,2.77%,3.83%,0.88%
Mar-64,4.16%,4.82%,3.75%,0.69%,2.44%,3.11%,1.41%,0.31%,3.85%,0.38%,3.44%,2.80%,0.32%,2.64%,2.28%,1.75%
Apr-64,0.90%,-0.10%,-1.64%,1.85%,-0.79%,-2.12%,0.10%,0.29%,0.61%,1.56%,-1.93%,-2.41%,2.98%,0.35%,-1.28%,1.29%
May-64,1.14%,1.51%,1.61%,1.48%,2.12%,0.57%,1.42%,0.26%,0.88%,1.22%,1.35%,0.31%,0.71%,1.55%,-0.56%,2.29%
Jun-64,1.25%,2.75%,1.31%,1.92%,1.43%,1.79%,1.27%,0.30%,0.95%,1.62%,1.01%,1.49%,0.66%,1.73%,1.62%,1.06%
Jul-64,2.18%,3.12%,2.90%,2.60%,1.52%,1.27%,1.74%,0.30%,1.88%,2.30%,2.60%,0.97%,1.30%,3.13%,2.72%,2.10%
Aug-64,-0.05%,-0.95%,-1.42%,-0.91%,-1.42%,-1.39%,-1.44%,0.28%,-0.33%,-1.19%,-1.70%,-1.67%,0.31%,-0.55%,-1.80%,0.52%
Sep-64,2.01%,3.06%,6.20%,2.35%,3.30%,4.75%,2.69%,0.28%,1.73%,2.07%,5.92%,4.47%,-1.47%,2.61%,6.19%,-0.87%
Oct-64,1.93%,2.28%,0.82%,1.25%,0.50%,0.64%,0.59%,0.29%,1.64%,0.96%,0.53%,0.35%,1.30%,2.37%,1.86%,1.73%
Nov-64,0.68%,-0.52%,-1.18%,0.67%,0.06%,-1.19%,0.00%,0.29%,0.39%,0.38%,-1.47%,-1.48%,1.57%,0.02%,0.18%,-0.09%
Dec-64,0.23%,-1.28%,-2.29%,1.05%,-0.52%,0.65%,0.03%,0.31%,-0.08%,0.74%,-2.60%,0.34%,1.19%,-1.75%,-2.36%,-0.65%
Jan-65,4.24%,7.05%,8.45%,2.43%,4.52%,5.87%,3.54%,0.28%,3.96%,2.15%,8.17%,5.59%,-1.16%,4.40%,7.37%,0.72%
Feb-65,3.10%,2.92%,4.35%,-0.95%,1.19%,3.88%,0.44%,0.30%,2.80%,-1.25%,4.05%,3.58%,-1.82%,3.15%,2.60%,2.20%
Mar-65,1.32%,0.90%,1.97%,-1.46%,-0.90%,-0.74%,-1.34%,0.36%,0.96%,-1.82%,1.61%,-1.10%,-0.70%,-0.37%,0.92%,-1.02%
Apr-65,3.75%,4.62%,4.86%,3.24%,3.22%,4.48%,3.11%,0.31%,3.44%,2.93%,4.55%,4.17%,0.85%,3.32%,2.93%,2.20%
May-65,-0.50%,-1.38%,-1.31%,-0.12%,-0.81%,-0.27%,-0.77%,0.31%,-0.81%,-0.43%,-1.62%,-0.58%,0.00%,-0.92%,-0.92%,-0.55%
Jun-65,-6.46%,-7.84%,-11.06%,-3.86%,-4.83%,-7.78%,-5.51%,0.35%,-6.81%,-4.21%,-11.41%,-8.13%,0.02%,-7.11%,-9.63%,-2.79%
Jul-65,2.54%,3.74%,5.72%,0.87%,1.80%,5.13%,1.43%,0.31%,2.23%,0.56%,5.41%,4.82%,-1.82%,3.55%,2.03%,2.66%
Aug-65,3.11%,5.26%,7.28%,1.22%,3.98%,7.01%,2.73%,0.33%,2.78%,0.89%,6.95%,6.68%,-2.50%,2.96%,5.91%,-0.39%
Sep-65,2.05%,4.09%,4.57%,2.94%,2.65%,5.81%,2.86%,0.31%,1.74%,2.63%,4.26%,5.50%,-0.61%,3.20%,4.28%,0.82%
Oct-65,4.09%,5.16%,8.89%,1.37%,3.43%,6.12%,2.60%,0.31%,3.78%,1.06%,8.58%,5.81%,-2.02%,2.98%,4.40%,0.45%
Nov-65,1.92%,4.59%,6.68%,-1.15%,-1.07%,6.52%,-0.03%,0.35%,1.57%,-1.50%,6.33%,6.17%,-4.27%,1.81%,2.87%,0.14%
Dec-65,2.79%,3.62%,6.47%,0.71%,0.80%,3.25%,1.01%,0.33%,2.46%,0.38%,6.14%,2.92%,-1.50%,1.20%,4.91%,-2.40%
Jan-66,3.36%,6.01%,8.45%,-1.42%,1.06%,6.37%,0.72%,0.38%,2.98%,-1.80%,8.07%,5.99%,-4.30%,2.98%,3.31%,0.45%
Feb-66,0.20%,2.42%,5.96%,-2.84%,-1.43%,4.38%,-1.21%,0.35%,-0.15%,-3.19%,5.61%,4.03%,-5.35%,-0.64%,3.51%,-3.36%
Mar-66,-2.47%,-2.68%,-1.18%,-2.16%,-3.01%,0.04%,-2.51%,0.38%,-2.85%,-2.54%,-1.56%,-0.34%,-2.56%,-3.19%,-2.89%,-0.57%
Apr-66,1.35%,5.04%,7.47%,2.19%,1.10%,4.33%,2.14%,0.34%,1.01%,1.85%,7.13%,3.99%,-2.31%,1.90%,3.67%,-1.20%
May-66,-5.19%,-7.95%,-12.30%,-3.31%,-5.10%,-9.53%,-5.66%,0.41%,-5.60%,-3.72%,-12.71%,-9.94%,2.32%,-6.81%,-9.00%,0.55%
